title,author,runtime
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Standing Dead,Margaret Mizushima,Length: 9 hrs and 38 mins
Slip Runner,J.N. Chaney,Length: 8 hrs and 18 mins
Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins
Hell Divers X: Fallout,Nicholas Sansbury Smith,Length: 12 hrs and 58 mins
Demon Blade,R. L. King,Length: 16 hrs and 9 mins
Scattered Minds,Gabor Maté MD,Length: 10 hrs and 59 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
As a Man Thinketh,James Allen,Length: 55 mins
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins
The School of Greatness,Lewis Howes,Length: 6 hrs and 39 mins
The Magic of Thinking Big,David Schwartz,Length: 9 hrs and 31 mins
World War Z: The Complete Edition,Max Brooks,Length: 12 hrs and 9 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
Savage Bonds,J Bree,Length: 10 hrs and 30 mins
The Power to Change,Craig Groeschel,Length: 5 hrs and 42 mins
Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins
An Endeavour to Be Worthy,L.L. Diamond,Length: 9 hrs and 13 mins
Principles,Ray Dalio,Length: 16 hrs and 5 mins
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,Length: 3 hrs and 32 mins
The Fine Print,Lauren Asher,Length: 11 hrs and 8 mins
The Auction,Maggie Cole,Length: 9 hrs and 54 mins
Jasper Vale,Devney Perry,Length: 9 hrs and 53 mins
Lord Farleigh and Miss Frost,Sally Britton,Length: 6 hrs and 59 mins
Dismount,Lucia Franco,Length: 13 hrs and 24 mins
Dark Light,Jayne Castle,Length: 8 hrs and 55 mins
Run on Red,Noelle West Ihli,Length: 7 hrs and 28 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Unbroken Bonds,J Bree,Length: 10 hrs and 49 mins
The Perfumist of Paris,Alka Joshi,Length: 11 hrs and 44 mins
Psycho Beasts,Jasmine Mas,Length: 15 hrs and 15 mins
Smoky Darling,S.J. Tilly,Length: 11 hrs and 5 mins
The Spirit of Harriet Tubman,Spring Washam,Length: 6 hrs and 26 mins
The Red Pyramid,Rick Riordan,Length: 14 hrs and 33 mins
The Courage to Be Free,Ron DeSantis,Length: 8 hrs and 59 mins
Hell Bent,Leigh Bardugo,Length: 16 hrs and 16 mins
Simply Lies,David Baldacci,Length: 11 hrs and 45 mins
Good Deeds,Kathryn Moon,Length: 7 hrs
I Married a Beast,Regine Abel,Length: 9 hrs and 16 mins
A Game of Hearts,Joanna Barker,Length: 11 hrs and 16 mins
Ryan Retribution,Sadie Kincaid,Length: 7 hrs and 5 mins
Tragic Bonds,J Bree,Length: 10 hrs and 4 mins
The Last Orphan,Gregg Hurwitz,Length: 11 hrs and 46 mins
Old Babes in the Wood,Margaret Atwood,Length: 8 hrs and 44 mins
Ghostly Game,Christine Feehan,Length: 11 hrs and 15 mins
Earth's First StarFighter,Han Yang,Length: 14 hrs and 28 mins
Valkyrie,Kris Michaels,Length: 7 hrs and 6 mins
Living Resistance,Kaitlin B. Curtice,Length: 5 hrs and 17 mins
Just as Deadly,Marissa A. Harrison,Length: 10 hrs and 39 mins
"The False Hero, Box Set 2",Michael Plymel,Length: 38 hrs and 41 mins
How Hitchens Can Save the Left,Matt Johnson,Length: 12 hrs and 38 mins
The House at the End of the World,Dean Koontz,Length: 10 hrs and 22 mins
Your Place or Mine?,Portia MacIntosh,Length: 7 hrs and 43 mins
Gunner,Dr. Rebecca Sharp,Length: 11 hrs and 8 mins
Skinwalkers at the Pentagon,James T. Lacatski DEng,Length: 6 hrs and 12 mins
The Alabaster Girl,Zan Perrion,Length: 18 hrs and 55 mins
Super Sales on Super Heroes 4,William D. Arand,Length: 12 hrs and 43 mins
Monumental: Harriet Tubman and Newark's Liberation Movement,Pia Wilson,Length: 1 hr and 10 mins
The Love Dare,Stephen Kendrick,Length: 5 hrs and 48 mins
Red Mars,Kim Stanley Robinson,Length: 23 hrs and 51 mins
The Master and Margarita,Mikhail Bulgakov,Length: 16 hrs and 52 mins
Rabbit,Patricia Williams,Length: 7 hrs and 23 mins
Boyd,Robert Coram,Length: 19 hrs and 41 mins
Into the Abyss,Carol Shaben,Length: 10 hrs and 1 min
Throttled,Lauren Asher,Length: 10 hrs and 21 mins
The Big Picture,Sean Carroll,Length: 17 hrs and 22 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
Just Kids,Patti Smith,Length: 9 hrs and 50 mins
Good Boundaries and Goodbyes,Lysa TerKeurst,Length: 7 hrs and 27 mins
Twisted,Emily McIntire,Length: 10 hrs and 44 mins
The In-Laws,Laura Wolfe,Length: 10 hrs and 13 mins
Carnage,Sarah Bailey,Length: 9 hrs and 40 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
Lasher,Anne Rice,Length: 28 hrs and 30 mins
Empty Theatre,Jac Jemc,Length: 12 hrs and 10 mins
The Woman Inside,Anna-Lou Weatherley,Length: 11 hrs and 19 mins
Fairy Cakes in Winter,Lane Hayes,Length: 4 hrs and 32 mins
The Night of the Party,Anna-Lou Weatherley,Length: 10 hrs and 12 mins
Objective Secure,Nick Lavery,Length: 8 hrs and 42 mins
Allegiant,Veronica Roth,Length: 11 hrs and 51 mins
Big Little Lies,Liane Moriarty,Length: 15 hrs and 55 mins
Life 3.0,Max Tegmark,Length: 13 hrs and 29 mins
Captivating,John Eldredge,Length: 8 hrs and 44 mins
Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,Length: 1 hr and 40 mins
Serpent Rising,Neven Paar,Length: 28 hrs and 40 mins
Based on a True Story,Norm Macdonald,Length: 7 hrs and 18 mins
The Sun Also Rises,Ernest Hemingway,Length: 7 hrs and 46 mins
The Last Party,Clare Mackintosh,Length: 13 hrs and 17 mins
The Time-Saving Mom,Crystal Paine,Length: 4 hrs and 44 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
Positive Affirmations for Black Men,Alexandra Adams,Length: 5 hrs and 30 mins
Dark Alliance Turbulent Waters,I. T. Lucas,Length: 8 hrs and 21 mins
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins
